profile,system,rank,S_ALEMC,g_accuracy,g_latency,g_energy,g_memory,g_carbon,accuracy,e2e_ms,energy_j,peak_rss_mb,carbon_gco2e
accuracy-first,laptop/C1,1,0.85486,1.0,0.9417,0.8891,0.4632,0.8891,0.5859,2976.23,114.5848,4416.0,0.00954874
accuracy-first,laptop/C2,2,0.30171,0.05,1.0,1.0,1.0,1.0,0.5694,2209.08,75.2585,4177.0,0.00627154
accuracy-first,laptop/C3,3,0.15319,0.8215,0.05,0.05,0.05,0.05,0.5828,14712.08,412.2727,4600.0,0.03435605
efficiency-first,laptop/C1,1,0.83262,1.0,0.9417,0.8891,0.4632,0.8891,0.5859,2976.23,114.5848,4416.0,0.00954874
efficiency-first,laptop/C2,2,0.54928,0.05,1.0,1.0,1.0,1.0,0.5694,2209.08,75.2585,4177.0,0.00627154
efficiency-first,laptop/C3,3,0.08752,0.8215,0.05,0.05,0.05,0.05,0.5828,14712.08,412.2727,4600.0,0.03435605
balanced,laptop/C1,1,0.83993,1.0,0.9417,0.8891,0.4632,0.8891,0.5859,2976.23,114.5848,4416.0,0.00954874
balanced,laptop/C2,2,0.47287,0.05,1.0,1.0,1.0,1.0,0.5694,2209.08,75.2585,4177.0,0.00627154
balanced,laptop/C3,3,0.10067,0.8215,0.05,0.05,0.05,0.05,0.5828,14712.08,412.2727,4600.0,0.03435605
