device,config,model,n,n_energy,n_stall_dropped,is_mock,accuracy_mean,accuracy_std,f1_mean,em_mean,faithfulness_mean,ttft_ms_mean,ttft_ms_std,e2e_ms_mean,e2e_ms_std,energy_j_mean,energy_j_std,energy_net_j_mean,energy_net_j_std,peak_rss_mb_mean,peak_rss_mb_std,carbon_low_mean,carbon_medium_mean,carbon_high_mean
desktop,exp1_baseline,gemma-2-2b-it,195,195,0,0,0.6301,0.449,0.6494,0.5487,0.8134,50.94,6.73,105.31,18.38,11.091,2.1709,7.5672,1.6055,10316.3,0.0,0.00015404,0.00092425,0.0018485
laptop,C1,gemma-2-2b-it,194,194,1,0,0.5859,0.4673,0.6361,0.5567,0.7557,2646.42,673.08,2976.23,768.88,114.5848,39.7668,32.4086,22.5725,4416,0.0,0.00159146,0.00954874,0.01909747
laptop,C2,gemma-2-2b-it,193,193,2,0,0.5694,0.4702,0.6092,0.5285,0.7589,1892.06,187.47,2209.08,251.99,75.2585,7.6401,13.1176,2.8419,4177,0.0,0.00104526,0.00627154,0.01254308
laptop,C3,gemma-2-2b-it,161,93,1,0,0.5828,0.4673,0.623,0.5466,0.8351,13766.69,3886.46,14712.08,4660.86,412.2727,104.3315,24.5184,19.8993,4600,0.0,0.00572601,0.03435605,0.06871211
laptop,exp1_baseline,gemma-2-2b-it,195,195,0,0,0.6238,0.4501,0.6427,0.5436,0.8081,4399.84,885.53,4763.53,914.7,144.2243,27.398,10.2223,3.3409,4499,0.0,0.00200312,0.01201869,0.02403738
phone,exp1_baseline,gemma-2-2b-it,55,32,0,0,0.5503,0.4326,0.5854,0.4,0.7845,25181.53,5652.33,25535.74,5751.88,423.8933,221.4469,224.7145,220.2098,2339,0.0,0.00588741,0.03532444,0.07064888
